district_id,voucher_area
2616440,kent
2616470,kent
2616500,kent
2617160,kent
2620160,kent
2620280,kent
2622050,kent
2625950,kent
2630030,kent
2632370,kent
2636570,kent
2620310,kent
2620340,kent
2620910,kent
2620980,kent
2633810,kent
2633930,kent
2635550,kent
0600001,los angeles
0600025,los angeles
0600153,los angeles
0601428,los angeles
0601620,los angeles
0602820,los angeles
0602970,los angeles
0603600,los angeles
0604110,los angeles
0604440,los angeles
0604830,los angeles
0605610,los angeles
0606037,los angeles
0607740,los angeles
0607920,los angeles
0608190,los angeles
0608760,los angeles
0609620,los angeles
0610050,los angeles
0610260,los angeles
0611460,los angeles
0611520,los angeles
0611850,los angeles
0612090,los angeles
0612120,los angeles
0612210,los angeles
0614760,los angeles
0614940,los angeles
0615240,los angeles
0615270,los angeles
0615600,los angeles
0616325,los angeles
0617040,los angeles
0617880,los angeles
0620130,los angeles
0621000,los angeles
0621210,los angeles
0621930,los angeles
0622500,los angeles
0622710,los angeles
0623010,los angeles
0625320,los angeles
0625470,los angeles
0626190,los angeles
0627180,los angeles
0627690,los angeles
0629580,los angeles
0629700,los angeles
0629850,los angeles
0629940,los angeles
0631320,los angeles
0633570,los angeles
0633750,los angeles
0634425,los angeles
0634860,los angeles
0635700,los angeles
0635970,los angeles
0637500,los angeles
0637560,los angeles
0638220,los angeles
0638980,los angeles
0639420,los angeles
0640650,los angeles
0641280,los angeles
0642000,los angeles
0642120,los angeles
0642450,los angeles
0642480,los angeles
0642510,los angeles
2500067,lowell-lawrence
2501710,lowell-lawrence
2501860,lowell-lawrence
2501950,lowell-lawrence
2502640,lowell-lawrence
2502670,lowell-lawrence
2502880,lowell-lawrence
2503330,lowell-lawrence
2503510,lowell-lawrence
2503870,lowell-lawrence
2503990,lowell-lawrence
2504320,lowell-lawrence
2505220,lowell-lawrence
2505500,lowell-lawrence
2505670,lowell-lawrence
2505970,lowell-lawrence
2506480,lowell-lawrence
2506960,lowell-lawrence
2507140,lowell-lawrence
2507260,lowell-lawrence
2507410,lowell-lawrence
2507740,lowell-lawrence
2508580,lowell-lawrence
2508700,lowell-lawrence
2508790,lowell-lawrence
2509360,lowell-lawrence
2509450,lowell-lawrence
2510380,lowell-lawrence
2510500,lowell-lawrence
2511430,lowell-lawrence
2511580,lowell-lawrence
2511670,lowell-lawrence
2511740,lowell-lawrence
2511760,lowell-lawrence
2512660,lowell-lawrence
2602790,macomb
2603240,macomb
2608580,macomb
2609570,macomb
2614820,macomb
2620880,macomb
2621120,macomb
2621870,macomb
2623490,macomb
2625230,macomb
2629940,macomb
2630090,macomb
2632220,macomb
2632670,macomb
2634260,macomb
2634470,macomb
2634680,macomb
2635220,macomb
2699997,macomb
2602670,macomb
2610080,macomb
2612450,macomb
2624690,macomb
2627240,macomb
2629670,macomb
2630210,macomb
2635190,macomb
5500013,milwaukee
5501770,milwaukee
5501800,milwaukee
5503060,milwaukee
5503510,milwaukee
5504770,milwaukee
5504800,milwaukee
5504830,milwaukee
5505460,milwaukee
5505490,milwaukee
5505910,milwaukee
5505940,milwaukee
5506000,milwaukee
5506030,milwaukee
5506140,milwaukee
5506180,milwaukee
5508130,milwaukee
5509060,milwaukee
5509240,milwaukee
5509300,milwaukee
5509360,milwaukee
5509390,milwaukee
5509600,milwaukee
5510060,milwaukee
5510170,milwaukee
5510470,milwaukee
5510710,milwaukee
5510830,milwaukee
5511350,milwaukee
5511640,milwaukee
5513260,milwaukee
5513800,milwaukee
5514040,milwaukee
5515600,milwaukee
5515700,milwaukee
5515780,milwaukee
5515990,milwaukee
5516260,milwaukee
5516620,milwaukee
5510890,milwaukee
2700123,minneapolis
2700128,minneapolis
2702640,minneapolis
2703180,minneapolis
2704050,minneapolis
