district_id,pct_black_educ,pct_asian_educ,pct_latinx_educ,pct_native_educ,pct_white_educ
2506750,0,0.015,0,0,0.985
2506780,0.011000000000000001,0.011000000000000001,0.019,0,0.9590000000000001
2506810,0,0,0,0,1
2506840,0.023,0.07200000000000001,0.033,0,0.86
2506900,0.023,0.033,0.023,0,0.9209999999999999
2506930,0.042,0.023,0.027000000000000003,0,0.8909999999999999
2506960,0,0.01,0.02,0,0.95
2506990,0.005,0,0.017,0,0.978
2507020,0.017,0.046,0.049,0.002,0.883
2507050,0,0,0.011000000000000001,0,0.9890000000000001
2507080,0,0,0,0,1
2507110,0.023,0.02,0.07200000000000001,0.004,0.8740000000000001
2507140,0,0,0,0.001,0.991
2507170,0.027999999999999997,0.038,0.027000000000000003,0,0.894
2500067,0,0.01,0,0,0.99
2507230,0.009000000000000001,0.004,0.036000000000000004,0,0.946
2507260,0.005,0.012,0.01,0,0.9620000000000001
2507290,0,0,0,0,1
2507320,0.001,0,0.031,0,0.946
2507350,0,0.008,0,0,0.987
2507380,0.02,0,0.055999999999999994,0,0.924
2507410,0.009000000000000001,0.023,0,0,0.968
2507440,0.009000000000000001,0.009000000000000001,0,0.02,0.9620000000000001
2507470,0,0,0,0,1
2507500,0.01,0,0.096,0,0.892
2507530,0,0.009000000000000001,0.015,0,0.965
2507560,0.003,0.022000000000000002,0.013000000000000001,0,0.9570000000000001
2507590,0,0,0.013999999999999999,0,0.986
2507620,0,0.005,0.025,0,0.9620000000000001
2507680,0,0,0.039,0,0.961
2507740,0,0,0.034,0,0.966
2507770,0,0.005,0,0.005,0.9890000000000001
2507830,0,0,0,0,1
2507860,0.001,0.006,0.036000000000000004,0,0.9520000000000001
2507890,0,0.009000000000000001,0,0,0.991
2507920,0,0.004,0.036000000000000004,0,0.9590000000000001
2507980,0.027999999999999997,0.013999999999999999,0.037000000000000005,0,0.917
2507990,0,0,0,0,1
2500544,0.006,0.023,0.012,0,0.953
2508040,0.013000000000000001,0,0.013000000000000001,0,0.961
2508160,0.01,0.01,0.023,0,0.956
2508220,0,0,0,0,1
2508250,0.051,0.006,0.046,0,0.883
2508280,0,0.012,0,0,0.988
2508310,0.005,0.005,0.015,0,0.971
2508340,0.006,0.027000000000000003,0.003,0.002,0.956
2504560,0,0.008,0.018000000000000002,0,0.973
2508370,0.016,0.03,0.031,0,0.902
2508430,0.048,0.008,0.053,0,0.879
2508530,0,0,0,0,0.895
2508580,0.005,0.01,0.026000000000000002,0,0.9590000000000001
2508610,0.022000000000000002,0.059000000000000004,0.04,0,0.865
2508640,0,0,0,0,1
2508670,0.01,0,0.01,0,0.9790000000000001
2508700,0,0.004,0.004,0,0.991
2508730,0.009000000000000001,0,0.022000000000000002,0,0.965
2508760,0,0,0.062,0,0.938
2508790,0.005,0.005,0,0,0.9840000000000001
2508820,0,0.006,0.011000000000000001,0,0.983
2508850,0.018000000000000002,0.021,0.009000000000000001,0,0.9329999999999999
2508910,0,0,0.022000000000000002,0,0.978
2508880,0,0,0.019,0,0.981
2508940,0.009000000000000001,0.009000000000000001,0,0,0.983
2509000,0,0,0.017,0,0.983
2509030,0,0,0,0,0.986
2509060,0.005,0.008,0.036000000000000004,0,0.951
