district_id,school,enroll_d,frl_enroll_d,pct_frl
0500017,7,3215,3215,1
0500019,5,3485,2005,0.575
0500020,2,500,500,1
0500021,3,618,497,0.804
0500023,2,1214,1193,0.983
0500026,9,3603,3603,1
0500028,3,1416,968,0.684
0500029,2,1164,853,0.733
0500030,2,374,374,1
0500032,2,489,369,0.755
0500035,2,87,87,1
0500036,1,106,83,0.783
0500041,2,360,321,0.892
0500042,5,1686,1050,0.623
0500043,5,3927,2053,0.523
0500044,5,2704,1882,0.696
0500045,3,1058,1058,1
0500046,2,1078,656,0.609
0500047,4,1540,1540,1
0500048,3,610,456,0.748
0500049,5,2323,1887,0.812
0500051,2,807,807,1
0500055,2,1191,347,0.291
0500059,3,1685,446,0.265
0500061,1,54,42,0.778
0500062,5,1147,1147,1
0500065,2,535,497,0.929
0500067,2,778,510,0.656
0500068,6,1082,485,0.448
0500070,2,619,619,1
0500071,2,420,299,0.712
0500072,2,404,404,1
0500073,3,775,557,0.719
0500074,8,3469,2211,0.637
0500076,3,597,597,1
0500078,4,1331,140,0.105
0500079,2,807,807,1
0500082,2,1019,600,0.589
0500390,3,102,102,1
0500394,3,3855,2598,0.674
0500398,5,3052,1977,0.648
0500402,6,1064,1063,0.999
0500405,4,881,881,1
0500407,1,141,141,1
0500408,1,125,125,1
0500409,4,1086,117,0.108
0500411,1,539,485,0.9
0500417,1,3390,1279,0.377
0500418,1,251,251,1
0500419,7,4095,4095,1
0500420,1,72,3,0.042
0500421,3,390,390,1
0500423,1,405,343,0.847
0500424,2,267,267,1
0500425,1,143,143,1
0500426,1,49,22,0.449
0500427,1,34,33,0.971
0500440,1,63,49,0.778
0500441,1,50,31,0.62
0502250,4,3210,1690,0.526
0502280,2,455,277,0.609
0502430,4,1922,1121,0.583
0502550,2,427,181,0.424
0502580,3,1299,910,0.701
0502610,3,969,679,0.701
0502670,2,350,350,1
0502700,3,1150,680,0.591
0502730,2,695,695,1
0502790,4,1610,638,0.396
0502820,2,565,353,0.625
0502880,5,3390,1609,0.475
0502960,7,5723,2238,0.391
0503030,5,2361,800,0.339
0503060,23,18536,3892,0.21
0503090,3,1142,698,0.611
0503150,4,1857,1321,0.711
0503240,3,965,581,0.602
0503300,2,451,372,0.825
0503320,4,1666,1666,1
0503420,2,399,399,1
0503450,3,1312,1312,1
0503480,2,473,473,1
0503630,2,453,453,1
0503640,4,2975,1046,0.352
0503690,12,9564,4193,0.438
0503710,2,736,450,0.611
0503750,16,10597,3696,0.349
0503770,2,580,437,0.753
0503840,2,372,268,0.72
0503960,2,658,414,0.629
0504020,3,1782,917,0.515
0504050,3,1278,994,0.778
0504080,3,730,729,0.999
0504110,3,1208,452,0.374
0504170,2,892,531,0.595
0504200,2,895,415,0.464
0504350,2,444,444,1
0504370,2,626,430,0.687
0504380,5,2459,1735,0.706
0504410,3,1299,1299,1
0504560,2,379,270,0.712
0504590,16,10038,4879,0.486
0504680,2,775,775,1
0504740,2,554,395,0.713
0504800,3,1638,1012,0.618
0504860,2,691,510,0.738
0504890,3,780,597,0.765
0504930,4,2083,1490,0.715
0504980,3,610,610,1
0505170,2,340,340,1
0505190,2,594,401,0.675
0505340,2,516,367,0.711
0505430,3,1220,707,0.58
0505470,3,1199,1199,1
0505500,4,1016,1016,1
0505550,2,440,440,1
0505580,2,644,364,0.565
0505680,6,4130,4130,1
0505760,4,1323,645,0.488
0505850,2,659,659,1
0505970,3,602,285,0.473
0506060,5,2214,2168,0.979
0506090,5,2603,714,0.274
0506120,16,10468,4005,0.383
0506150,3,921,921,1
0506210,2,765,666,0.871
0506240,2,493,346,0.702
0506270,5,2213,2213,1
0506330,26,14365,10527,0.733
0506360,3,1147,725,0.632
0506420,3,1351,633,0.469
0506540,4,1527,877,0.574
0506630,3,981,522,0.532
0506690,3,1018,718,0.705
0506840,4,1978,820,0.415
0506870,3,1413,1107,0.783
0506900,7,3723,1517,0.407
0506930,3,712,512,0.719
0506990,6,3920,1241,0.317
0507110,3,668,479,0.717
0507140,2,303,301,0.993
0507170,2,824,824,1
0507230,2,534,380,0.712
0507290,3,926,474,0.512
0507320,4,1258,427,0.339
0507350,3,1094,1094,1
0507380,5,2722,1345,0.494
0507530,2,567,404,0.713
0507560,3,1513,718,0.475
0507620,2,625,625,1
0507680,2,1138,1138,1
0507710,2,430,430,1
0507740,2,662,662,1
0507770,3,1577,1577,1
0507840,6,2291,2291,1
0507860,2,707,541,0.765
0507890,6,3754,3753,1
0507920,3,859,859,1
0507990,2,846,846,1
0508040,10,5035,5035,1
0508130,6,2297,1359,0.592
0508240,6,850,623,0.733
0508280,10,6650,6650,1
0508340,2,664,409,0.616
0508400,4,1189,849,0.714
0508490,2,406,406,1
0508610,6,4227,2216,0.524
0508640,4,927,927,1
0508670,5,3430,1395,0.407
0508700,3,1350,946,0.701
0508730,3,853,449,0.526
0508940,3,1108,773,0.698
0509000,41,22054,16690,0.757
0509060,4,1604,1097,0.684
0509150,2,514,398,0.774
0509190,2,714,327,0.458
0509240,4,1933,1477,0.764
0509270,2,524,524,1
0509330,3,734,526,0.717
0509360,2,636,636,1
0509390,5,3714,2676,0.721
0509420,2,530,435,0.821
0509480,3,801,801,1
0509510,2,317,317,1
0509540,3,992,588,0.593
0509570,2,581,581,1
0509600,2,586,340,0.58
0509630,3,1150,1150,1
0509720,2,883,486,0.55
0509750,5,1724,1123,0.651
0509780,2,360,360,1
0509840,4,1748,959,0.549
0509990,2,418,296,0.708
0510080,2,563,351,0.623
0510170,2,651,650,0.998
0510200,7,1580,1580,1
0510260,3,663,663,1
0510290,3,450,450,1
0510320,2,693,489,0.706
0510380,4,1909,1398,0.732
0510410,3,533,349,0.655
0510440,7,3623,3309,0.913
0510560,2,466,356,0.764
0510680,14,8216,8216,1
0510920,2,411,314,0.764
0510950,4,1070,1070,1
0510980,2,507,236,0.465
0511010,4,1744,969,0.556
0511070,2,750,500,0.667
0511130,3,1032,1032,1
0511220,2,851,340,0.4
0511340,2,923,574,0.622
0511370,2,815,333,0.409
0511610,4,2028,1223,0.603
0511700,4,1826,773,0.423
0511730,2,515,266,0.517
0511760,4,2140,746,0.349
0511820,3,934,934,1
0511850,26,11709,7134,0.609
0511880,3,817,427,0.523
0511970,23,15848,8776,0.554
0512000,2,760,435,0.572
0512060,10,5502,3157,0.574
0512090,2,850,561,0.66
0512180,2,447,231,0.517
0512210,6,4006,1878,0.469
0512420,2,336,336,1
0512450,6,4430,2083,0.47
0512480,2,786,559,0.711
0512510,3,1128,621,0.551
0512520,5,2386,2386,1
0512540,4,2253,1419,0.63
0512570,2,552,546,0.989
0512630,2,580,307,0.529
0512660,29,22789,16121,0.707
0512930,1,312,312,1
0512960,4,1606,1606,1
0513080,6,3656,1737,0.475
0513110,8,4049,4049,1
0513230,3,906,662,0.731
0513350,3,862,400,0.464
0513380,4,2971,800,0.269
0513410,11,5700,3119,0.547
0513530,6,3060,1223,0.4
0513560,2,381,265,0.696
0513680,4,1539,1131,0.735
0513930,5,1942,1942,1
0514010,3,955,461,0.483
0514020,2,658,658,1
0514040,2,502,502,1
0514140,6,3021,1451,0.48
0514370,2,470,279,0.594
0514400,2,559,265,0.474
0514430,4,2503,1551,0.62
0514490,2,963,963,1
0600001,3,935,562,0.601
0600002,1,62,59,0.952
0600003,1,318,315,0.991
0600006,5,1739,186,0.107
0600007,1,298,67,0.225
0600009,2,172,125,0.727
0600011,4,241,146,0.606
0600012,1,87,70,0.805
0600013,17,11478,1868,0.163
0600014,25,22309,14842,0.665
0600015,4,980,882,0.9
0600016,14,10186,6593,0.647
0600017,13,13281,9666,0.728
0600018,2,300,249,0.83
0600019,13,12442,997,0.08
0600020,15,14064,1093,0.078
0600021,1,262,24,0.092
0600022,6,3801,3709,0.976
0600025,7,5823,263,0.045
0600026,3,684,496,0.725
0600027,24,20678,12946,0.626
0600028,29,26545,7346,0.277
0600029,19,22590,7661,0.339
0600031,1,17,12,0.706
0600032,12,9566,1331,0.139
0600033,5,2273,1949,0.857
0600034,8,4584,2338,0.51
0600035,6,2463,2202,0.894
0600036,19,14179,7221,0.509
0600037,2,476,248,0.521
0600038,2,35,7,0.2
0600039,5,2439,2001,0.82
0600040,4,1478,1259,0.852
0600042,2,211,157,0.744
0600043,4,2179,197,0.09
0600044,4,1261,866,0.687
0600045,5,2284,1843,0.807
0600046,3,2181,1870,0.857
0600047,19,14092,7079,0.502
0600048,12,6536,3943,0.603
0600049,4,496,360,0.726
0600051,5,2029,1409,0.694
0600052,8,3619,2536,0.701
0600060,6,2088,1362,0.652
0600061,6,2941,1971,0.67
0600062,9,5255,1954,0.372
0600063,5,1797,1572,0.875
0600064,22,14471,12103,0.836
0600065,10,6589,5690,0.864
0600067,3,1569,1312,0.836
0600068,9,2310,900,0.39
0600069,8,3809,2258,0.593
0600116,7,1537,666,0.433
0600153,17,15215,8151,0.536
0600158,14,13518,7896,0.584
0600159,5,615,359,0.584
0600160,6,1364,768,0.563
0601331,3,657,395,0.601
0601332,43,23832,19516,0.819
0601339,3,709,567,0.8
0601409,6,1949,1269,0.651
0601410,8,6978,764,0.109
0601414,20,12849,7554,0.588
0601415,6,2566,2061,0.803
0601418,5,2062,1820,0.883
0601420,4,1133,884,0.78
0601421,9,4984,4033,0.809
0601422,3,201,44,0.219
0601423,6,2632,1723,0.655
0601426,5,2202,829,0.376
0601427,3,564,285,0.505
0601428,5,2477,855,0.345
0601442,4,906,770,0.85
0601461,1,513,418,0.815
0601462,1,233,37,0.159
0601463,1,217,152,0.7
0601464,1,739,192,0.26
0601465,1,453,302,0.667
0601466,1,166,129,0.777
0601467,1,65,34,0.523
0601468,1,481,454,0.944
0601469,1,388,119,0.307
0601470,1,219,195,0.89
0601471,1,514,499,0.971
0601472,1,3084,681,0.221
0601473,1,643,160,0.249
0601474,1,254,200,0.787
0601475,1,347,281,0.81
0601477,1,411,408,0.993
0601478,1,414,27,0.065
0601479,1,235,132,0.562
0601480,1,185,108,0.584
0601481,1,435,336,0.772
0601483,1,418,245,0.586
0601484,1,783,717,0.916
0601485,1,549,482,0.878
