district_id,school_id,school_name,school_type,school_level,enroll21_nces
3901472,390147205727,ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,1-Regular school,High,218
3600120,360012005884,ACADEMY FOR YOUNG WRITERS,1-Regular school,High,542
4807470,480747000040,ACADEMY H S,1-Regular school,High,487
0805550,080555001872,ACADEMY HIGH SCHOOL,1-Regular school,High,448
0900700,090070001513,ACADEMY OF AEROSPACE AND ENGINEERING,1-Regular school,High,776
3600102,360010202562,ACADEMY OF AMERICAN STUDIES,1-Regular school,High,1117
4111670,411167001641,ACADEMY OF ARTS AND ACADEMICS,1-Regular school,High,201
3200480,320048000664,ACADEMY OF ARTS CAREERS & TECH,1-Regular school,High,552
0616860,061686012368,ACADEMY OF CAREERS AND EXPLORATION,1-Regular school,High,291
0900700,090070001532,ACADEMY OF COMPUTER SCIENCE AND ENGINEERING,1-Regular school,High,410
4900037,490003701611,ACADEMY OF COMPUTERS AND ENGINEERING,1-Regular school,High,NA
1200270,120027004326,ACADEMY OF ENVIRONMENTAL SCIENCE,1-Regular school,High,123
3600098,360009805828,ACADEMY OF FINANCE AND ENTERPRISE,1-Regular school,High,741
2400510,240051001704,ACADEMY OF HEALTH SCIENCES AT PGCC,1-Regular school,High,534
3600095,360009505885,ACADEMY OF HOSPITALITY AND TOURISM,1-Regular school,High,257
4113530,411353001714,ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN),1-Regular school,High,322
0900700,090070000880,ACADEMY OF INTERNATIONAL STUDIES 6-12,1-Regular school,High,713
0622710,062271013104,ACADEMY OF MEDICAL ARTS AT CARSON HIGH,1-Regular school,High,504
3600123,360012306079,ACADEMY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,1-Regular school,High,721
1304380,130438001528,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,1-Regular school,High,1043
0900700,090070001592,ACADEMY OF SCIENCE AND INNOVATION,1-Regular school,High,777
2623130,262313008413,ACADEMY OF SCIENCE MATH AND TECHNOLOGY EARLY COLLEGE HIGH SC,1-Regular school,High,54
4000803,400080302873,ACADEMY OF SEMINOLE CHARTER HS,1-Regular school,High,79
0642510,064251008517,ACADEMY OF THE CANYONS,1-Regular school,High,414
2500021,250002100511,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,1-Regular school,High,540
0400202,040020201959,ACADEMY OF TUCSON HIGH SCHOOL,1-Regular school,High,167
3600097,360009705552,ACADEMY OF URBAN PLANNING AND ENGINEERING (THE),1-Regular school,High,370
4222400,422240006516,ACADEMY PARK HS,1-Regular school,High,1336
2200870,220087000660,ACADIANA HIGH SCHOOL,1-Regular school,High,1754
0601650,060165000032,ACALANES HIGH,1-Regular school,High,1303
0639930,063993013976,ACCELERATED CHARTER HIGH,1-Regular school,High,157
3200060,320006000950,ACCELERATION ACADEMY,1-Regular school,High,582
