district_id,dist_name,fte_total,pct_black_educ,pct_asian_educ,pct_latinx_educ,pct_native_educ,pct_hawpi_educ,pct_two_plus_educ,pct_white_educ,pct_female_educ,pct_male_educ,pct_bipoc_educ
2500080,Boston Preparatory Charter Public (District),55.6,0.23800000000000002,0.12,0.09,0,0,0.028999999999999998,0.523,0.509,0.491,0.477
2500039,Boston Renaissance Charter Public (District),47.9,0.063,0.021,0.037000000000000005,0,0,0,0.88,0.7959999999999999,0.204,0.12
2502820,Bourne,105.1,0,0.01,0,0,0,0.01,0.981,0.7829999999999999,0.217,0.019000000000000017
2502880,Boxford,46.7,0,0,0.021,0,0,0,0.9790000000000001,0.9570000000000001,0.043,0.020999999999999908
2502940,Braintree,373.8,0.003,0.003,0.005,0,0,0.003,0.987,0.77,0.228,0.013000000000000012
2502970,Brewster,34.7,0,0,0,0,0,0,1,0.9420000000000001,0.057999999999999996,0
2500527,Bridge Boston Charter School (District),31,0.29,0.032,0.065,0,0,0.065,0.5479999999999999,0.774,0.226,0.45200000000000007
2503030,Bridgewater-Raynham,306,0.006999999999999999,0,0,0,0,0,0.993,0.774,0.226,0.007000000000000006
2503060,Brimfield,17.6,0,0,0,0,0,0,1,0.8859999999999999,0.114,0
2503070,Bristol County Agricultural,38.9,0,0,0.026000000000000002,0,0,0,0.9740000000000001,0.731,0.26899999999999996,0.025999999999999912
2503080,Bristol-Plymouth Regional Vocational Technical,61.3,0,0,0.033,0.008,0,0,0.9590000000000001,0.616,0.384,0.040999999999999925
2503090,Brockton,768,0.102,0.016,0.036000000000000004,0.001,0.001,0.012,0.8320000000000001,0.7659999999999999,0.23399999999999999,0.16799999999999993
2500071,Brooke Charter School (District),175.5,0.254,0.047,0.188,0,0.006,0.046,0.46,0.703,0.297,0.54
2503120,Brookfield,19,0,0,0,0,0,0,1,0.895,0.105,0
2503150,Brookline,502,0.025,0.059000000000000004,0.042,0.002,0.002,0.005,0.866,0.785,0.215,0.134
2503240,Burlington,260.8,0.012,0.033,0.01,0,0,0.006,0.94,0.8170000000000001,0.183,0.06000000000000005
2503270,Cambridge,519.9,0.098,0.062,0.09300000000000001,0,0,0.022000000000000002,0.725,0.72,0.27899999999999997,0.275
2503300,Canton,229.6,0.004,0.009000000000000001,0.013000000000000001,0,0,0.028999999999999998,0.945,0.809,0.191,0.05500000000000005
2500024,Cape Cod Lighthouse Charter (District),22.5,0,0,0,0,0,0,1,0.667,0.33299999999999996,0
2503310,Cape Cod Regional Vocational Technical,46.3,0.013000000000000001,0,0,0,0,0,0.987,0.503,0.49700000000000005,0.013000000000000012
2503330,Carlisle,51.2,0.02,0.016,0,0,0,0,0.965,0.8240000000000001,0.17600000000000002,0.03500000000000003
2503360,Carver,115.6,0.009000000000000001,0,0.009000000000000001,0,0.009000000000000001,0.009000000000000001,0.965,0.757,0.243,0.03500000000000003
2503390,Central Berkshire,104.7,0,0,0,0,0,0,1,0.718,0.282,0
2503510,Chelmsford,335.5,0,0.006,0.009000000000000001,0,0,0,0.985,0.7929999999999999,0.207,0.015000000000000013
2503540,Chelsea,298.4,0.042,0.049,0.17800000000000002,0,0.003,0,0.728,0.7040000000000001,0.29600000000000004,0.272
2500014,Chesterfield-Goshen,12.8,0,0,0,0,0,0,1,0.7040000000000001,0.29600000000000004,0
2503660,Chicopee,521.9,0.008,0.005,0.042,0,0.002,0.005,0.9390000000000001,0.715,0.285,0.06099999999999994
2500068,Christa McAuliffe Charter School (District),24.9,0.08,0.08,0.10099999999999999,0.04,0,0,0.698,0.408,0.551,0.30200000000000005
2500026,City on a Hill Charter Public School (District),14.3,0.212,0,0.098,0,0,0.055999999999999994,0.634,0.44799999999999995,0.51,0.366
2503720,Clarksburg,15.5,0,0,0,0,0,0,1,0.775,0.225,0
2503750,Clinton,128.1,0.008,0.008,0.046,0,0,0,0.938,0.759,0.24100000000000002,0.062000000000000055
2500070,Codman Academy Charter Public (District),31.2,0.34,0.048,0.064,0,0,0.064,0.483,0.615,0.385,0.517
2503780,Cohasset,105,0,0,0.01,0,0,0,0.99,0.757,0.243,0.010000000000000009
2500545,Collegiate Charter School of Lowell (District),43.9,0.034,0.057,0.165,0,0,0,0.743,0.574,0.426,0.257
2500086,Community Charter School of Cambridge (District),23.8,0.16399999999999998,0.021,0.126,0,0,0.042,0.647,0.664,0.336,0.353
2500027,Community Day Charter Public School (District),33.6,0,0,0.27,0,0,0.03,0.7,0.562,0.43799999999999994,0.30000000000000004
2503840,Concord,141.8,0.021,0.049,0.039,0,0,0,0.89,0.8540000000000001,0.146,0.10999999999999999
2503870,Concord-Carlisle,83.8,0.03,0.037000000000000005,0.042,0,0,0,0.8909999999999999,0.611,0.389,0.1090000000000001
2500060,Conservatory Lab Charter (District),30.2,0.28,0,0.045,0,0,0,0.675,0.693,0.27,0.32499999999999996
2503900,Conway,11.6,0,0,0,0,0,0,1,0.802,0.198,0
2503990,Danvers,206.5,0,0.005,0.017,0,0,0.005,0.973,0.7190000000000001,0.281,0.027000000000000024
2504020,Dartmouth,232.1,0,0,0,0,0,0,1,0.723,0.27699999999999997,0
2504050,Dedham,192.5,0,0,0.01,0,0,0,0.99,0.8109999999999999,0.18899999999999997,0.010000000000000009
2504080,Deerfield,24.2,0,0,0,0,0,0,1,0.794,0.20600000000000002,0
2504140,Dennis-Yarmouth,192.3,0.015,0.004,0.02,0,0,0.003,0.958,0.703,0.297,0.04200000000000004
2504200,Dighton-Rehoboth,178.2,0,0,0.017,0,0,0.006,0.978,0.752,0.248,0.02200000000000002
2504230,Douglas,84.8,0,0,0,0,0,0,1,0.759,0.24100000000000002,0
2504260,Dover,37.5,0,0,0.027000000000000003,0,0,0,0.973,0.872,0.128,0.027000000000000024
2504290,Dover-Sherborn,90.3,0,0.031,0.055,0,0,0,0.914,0.691,0.309,0.08599999999999997
2504320,Dracut,210.4,0,0.01,0.01,0,0,0,0.98,0.81,0.19,0.020000000000000018
2500543,Dudley Street Neighborhood Charter School (District),15,0.467,0,0.133,0,0,0,0.4,1,0,0.6
2504360,Dudley-Charlton Reg,215.3,0,0,0.027000000000000003,0.009000000000000001,0,0,0.9640000000000001,0.752,0.248,0.03599999999999992
2504410,Duxbury,173.3,0,0.012,0.006,0,0,0.002,0.98,0.737,0.263,0.020000000000000018
2504440,East Bridgewater,145.1,0,0,0.006999999999999999,0,0,0,0.993,0.7659999999999999,0.23399999999999999,0.007000000000000006
2504500,East Longmeadow,163.1,0.006,0.012,0.008,0,0.006,0.006,0.961,0.728,0.272,0.039000000000000035
2504530,Eastham,15.8,0,0,0,0,0,0,1,0.987,0.013000000000000001,0
2504590,Easthampton,95.7,0.01,0,0.019,0,0,0,0.97,0.639,0.361,0.030000000000000027
