district_id,district,high_schools,hs_with_ap,pct_hs_with_ap,d_ap_enroll,d_ap_enroll_latinx,d_ap_enroll_native,d_ap_enroll_asian,d_ap_enroll_hawpi,d_ap_enroll_black,d_ap_enroll_white,d_ap_enroll_twoplus,d_hs_enroll,d_hs_enroll_latinx,d_hs_enroll_native,d_hs_enroll_asian,d_hs_enroll_hawpi,d_hs_enroll_black,d_hs_enroll_white,d_hs_enroll_twoplus,pct_ap_enroll_d,pct_latinx_ap_enroll_d,pct_native_ap_enroll_d,pct_asian_ap_enroll_d,pct_hawpi_ap_enroll_d,pct_black_ap_enroll_d,pct_white_ap_enroll_d,pct_twoplus_ap_enroll_d,schools,schools_with_oos,pct_oos_d,pct_latinx_oos_d,pct_native_oos_d,pct_asian_oos_d,pct_hawpi_oos_d,pct_black_oos_d,pct_white_oos_d,pct_twoplus_oos_d
0409430,Window Rock Unified District (4154),1,1,1,49,2,47,0,0,0,0,0,605,3,602,0,0,0,0,0,0.08,0.67,0.08,NA,NA,NA,NA,NA,5,5,0,0,0,0,NA,0,NA,NA
0409460,Winslow Unified District (4387),1,1,1,0,0,0,0,0,0,0,0,614,146,348,4,1,4,92,20,0,0,0,0,0,0,0,0,5,5,0.02,0.03,0.02,0,0,0,0.03,0.03
0409540,Young Elementary District (4213),1,1,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0,NA,NA,NA,NA,NA,0,NA,2,2,0,0,NA,NA,NA,NA,0,0
0409630,Yuma Union High School District (4507),6,6,1,1998,1722,7,32,2,19,201,15,10850,9257,75,76,11,108,1221,101,0.18,0.19,0.09,0.42,0.18,0.18,0.16,0.15,6,5,0,0,0,0.01,0,0,0.01,0.01
0409733,Sedona-Oak Creek Jusd #9,1,1,1,58,16,0,1,0,0,34,7,429,226,4,6,2,4,166,22,0.14,0.07,0,0.17,0,0,0.2,0.32,3,3,0.02,0.02,0,0,0,0,0.01,0.03
0500001,Dewitt School District,1,1,1,92,1,0,0,0,15,75,1,337,11,1,0,0,52,270,10,0.27,0.09,0,NA,NA,0.29,0.28,0.1,4,4,0.04,0.02,0,0,0,0.09,0.04,0
0500006,Warren School District,1,1,1,22,1,0,0,0,2,18,1,466,114,1,0,0,130,203,8,0.05,0.01,0,NA,NA,0.02,0.09,0.12,4,4,0.06,0.04,0,NA,0,0.09,0.03,0
0500009,Corning School District,1,1,1,20,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA
0500012,Riverside School District,1,1,1,64,2,0,0,0,0,61,1,357,24,2,0,0,0,319,11,0.18,0.08,0,NA,NA,NA,0.19,0.09,3,3,0.02,0.09,0,NA,0,0,0.01,0
0500015,Sheridan School District,1,1,1,400,15,0,23,0,5,357,0,1222,72,8,24,0,26,1077,15,0.33,0.21,0,0.96,NA,0.19,0.33,0,7,7,0.02,0,0,0.02,NA,0.02,0.02,0.02
0500016,Marmaduke School District,1,1,1,9,0,0,0,0,0,9,0,313,9,0,0,0,0,300,4,0.03,0,NA,NA,NA,NA,0.03,0,2,2,0.03,0,0,NA,NA,0,0.02,0.55
0500017,Paragould School District,1,1,1,159,8,0,1,2,2,144,2,885,61,1,1,13,40,750,17,0.18,0.13,0,1,0.15,0.05,0.19,0.12,7,7,0.06,0.08,0.11,0,0,0.24,0.03,0.19
0500019,Batesville School District,1,1,1,107,10,0,9,0,3,85,0,904,203,2,11,3,50,634,8,0.12,0.05,0,0.82,0,0.06,0.13,0,5,5,0.01,0.01,0,0,0,0.02,0.01,0.06
0500020,Midland School District,1,1,1,12,3,0,0,0,0,9,0,217,8,0,0,0,8,199,3,0.06,0.38,NA,NA,NA,0,0.05,0,2,2,0.03,0,NA,NA,0,0.25,0.03,0
0500021,Izard Co. Cons. School Dist.,1,1,1,24,0,0,0,0,0,24,0,185,2,0,0,0,4,178,3,0.13,0,NA,NA,NA,0,0.13,0,3,3,0.01,0,NA,0,NA,0,0.01,0
0500023,Newport School District,1,1,1,46,3,0,0,0,15,28,0,566,48,0,4,0,232,285,30,0.08,0.06,NA,0,NA,0.06,0.1,0,2,2,0.02,0,0,0,NA,0.02,0.02,0.03
0500026,Pine Bluff School District,1,1,1,145,0,0,0,0,142,3,0,892,16,0,1,0,850,21,3,0.16,0,NA,0,NA,0.17,0.14,0,5,5,0.01,0,0,0,0,0.01,0,0
0500028,Star City School District,1,1,1,132,12,0,2,0,21,96,1,447,37,1,3,0,84,301,11,0.3,0.32,0,0.67,NA,0.25,0.32,0.09,3,3,0.04,0.01,0,0,NA,0.06,0.03,0.08
0500029,Gosnell School District,1,1,1,13,0,0,0,0,2,11,0,606,53,0,3,0,124,398,24,0.02,0,NA,0,NA,0.02,0.03,0,2,2,0.06,0.08,NA,0.14,0,0.09,0.05,0.11
0500030,Nevada School District,1,1,1,13,0,0,0,0,3,10,0,175,3,1,0,0,70,91,10,0.07,0,0,NA,NA,0.04,0.11,0,2,2,0.02,0,0,0,NA,0.03,0.01,0.07
0500032,Bearden School District,1,1,1,10,0,0,0,0,3,7,0,202,11,0,1,0,72,102,8,0.05,0,NA,0,NA,0.04,0.07,0,2,2,0.05,0,NA,0,NA,0.06,0.05,0.07
0500041,Western Yell Co. School Dist.,1,1,1,10,2,0,1,0,0,7,0,191,36,2,5,0,0,139,8,0.05,0.06,0,0.2,NA,NA,0.05,0,2,2,0,0,0,0,NA,0,0,0
0500042,Hamburg School District,1,1,1,54,16,0,0,1,7,30,0,496,84,0,1,1,114,298,7,0.11,0.19,NA,0,1,0.06,0.1,0,5,5,0.01,0.01,NA,0,0,0.02,0.01,0
